Nivel instrucción,Urbano,Rural,Urbano-Hombres,Rural-Hombres,Urbano-Mujeres,Rural-Mujeres
NINGUNO,1797,3811,643,1442,1154,2369
CENTRO ALFAB,395,361,156,172,239,189
PRIMARIO,40264,31856,19352,15871,20912,15985
SECUNDARIO,30307,8080,14142,3851,16165,4229
POST BACHILLERATO,728,71,291,28,437,43
SUPERIOR,25459,1888,11195,882,14264,1006
POSTGRADO,440,17,273,6,167,11
NO DECLARADO,7268,3363,3530,1706,3738,1657
